x,isPin,relationToFeature,vbar,mbar,thetabar,ybar,v,m,theta,y
0,true,-1,0,0,0,0,0,0,0.007905775876150588,0
0,true,1,0,0,0,0,-5221.299303707347,0,0.007905775876150588,0
0.1,,,4.677325863636364,0.23387295156250001,2.1836815455136005e-12,5.4592401288557154e-14,-5216.62197784371,-521.8960574191722,0.007905768565714818,0.0007905773439156695
0.2,,,9.353799454545456,0.9354358758522727,1.746868147229865e-11,8.734494085595433e-13,-5211.945504252801,-1043.324424865617,0.007905746643141462,0.001581153226071713
0.3,,,14.029420772727274,2.104603545596591,5.895414225732373e-11,4.4216798777707284e-12,-5207.269882934619,-1564.2851875666074,0.007905710121529663,0.0023717261859093498
0.4,,,18.70418981818182,3.7412907335227286,1.397368190996938e-10,1.3974187548683565e-11,-5202.595113889165,-2084.7784307494157,0.007905659013976177,0.0031622947641795924
0.5,,,23.37810659090909,5.845412212357956,2.7291107992064995e-10,3.411543231707679e-11,-5197.921197116438,-2604.8042396413152,0.007905593333575371,0.003952857502943011
0.6,,,28.051171090909094,8.416882754829546,4.715689053635697e-10,7.073919150696011e-11,-5193.248132616437,-3124.3626994695783,0.007905513093419227,0.0047434129455694906
0.7000000000000001,,,32.723383318181824,11.455617133664775,7.48799888793967e-10,1.310483211427878e-10,-5188.575920389165,-3643.453895461478,0.007905418306597335,0.005533959636738001
0.8,,,37.39474327272728,14.961530121590911,1.1176912362994916e-9,2.2355451722167219e-10,-5183.904560434619,-4162.077912844286,0.007905308986196905,0.006324496122436342
0.8999999999999999,,,42.06525095454546,18.93453649133523,1.5913277666899292e-9,3.580780769855974e-10,-5179.234052752801,-4680.234836845276,0.007905185145302753,0.007115020949960925
1,,,46.73490636363638,23.37455101562501,2.182791911497205e-9,5.457476601936337e-10,-5174.56439734371,-5197.924752691722,0.00790504679699731,0.007905532667916519
1.1,,,51.40370950000002,28.281488467187515,2.905163714975376e-9,7.990000503941497e-10,-5169.895594207346,-5715.147745610894,0.007904893954360627,0.008696029826216017
1.2,,,56.071660363636376,33.65526361875001,3.771520834100636e-9,1.131579916197026e-9,-5165.22764334371,-6231.903900830066,0.00790472663047035,0.009486510976080194
1.2999999999999998,,,60.73875895454546,39.495791243039776,4.794938538571317e-9,1.5585395725458709e-9,-5160.560544752801,-6748.19330357651,0.007904544838401759,0.010276974670037476
1.4000000000000001,,,65.4050052727273,45.80298611278412,5.988489710807894e-9,2.096238741990235e-9,-5155.8942984346195,-7264.016039077502,0.00790434859122773,0.011067419461923701
1.5,,,70.07039931818183,52.57676300071025,7.3652448459529605e-9,2.762344315957815e-9,-5151.228904389165,-7779.3721925603095,0.007904137902018762,0.011857843906881861
1.6,,,74.7349410909091,59.81703667954549,8.938272051871265e-9,3.5758301160266828e-9,-5146.564362616437,-8294.261849252209,0.007903912783842958,0.012648246561361895
1.7,,,79.3986305909091,67.52372192201707,1.0720637049149676e-8,4.556976655197485e-9,-5141.900673116437,-8808.685094380473,0.007903673249766045,0.013438625983120418
1.7999999999999998,,,84.06146781818181,75.69673350085229,1.2725403171097212e-8,5.727370899165667e-9,-5137.237835889165,-9322.64201317237,0.007903419312851349,0.01422898073122051
1.9000000000000001,,,88.72345277272727,84.33598618877845,1.4965631363745033e-8,7.109906027593688e-9,-5132.57585093462,-9836.13269085518,0.007903150986159825,0.015019309366031464
2,,,93.38458545454546,93.44139475852276,1.74543801858464e-8,8.728781195383209e-9,-5127.914718252801,-10349.15721265617,0.007902868282750022,0.015809610449228535
2.0999999999999996,,,98.04486586363635,103.01287398281251,2.0204705808876743e-8,1.060950129394734e-8,-5123.254437843711,-10861.715663802614,0.007902571215678118,0.01659988254379273
2.2,,,102.70429400000002,113.05033863437505,2.322966201703365e-8,1.2778876712482862e-8,-5118.595009707346,-11373.808129521789,0.007902259797997895,0.017390124214010556
2.3000000000000003,,,107.3628698636364,123.55370348593756,2.6542300207236778e-8,1.5265023099242372e-8,-5113.93643384371,-11885.434695040962,0.007901934042760751,0.018180334025473754
2.4,,,112.02059345454548,134.5228833102273,3.0155669389127954e-8,1.809736112280656e-8,-5109.278710252801,-12396.595445587405,0.007901593963015695,0.01897051054507911
2.5,,,116.6774647727273,145.95779287997163,3.408281618507118e-8,2.1306616233356442e-8,-5104.6218389346195,-12907.290466388395,0.007901239571809349,0.01976065234102818
