x,isPin,relationToFeature,vbar,mbar,thetabar,ybar,v,m,theta,y
0,true,-1,0,0,0,0,0,0,0.003375875102976988,0
0,true,1,0,0,0,0,-6756.352441597922,0,0.003375875102976988,0
0.1,,,10.277325863636364,0.5138729515625001,4.798016059366952e-12,1.1995076413489095e-13,-6746.075115734286,-675.1213712082298,0.0033758656452578385,0.0003375871950004107
0.2,,,20.553799454545455,2.0554358758522726,3.8383357583125464e-11,1.9191832141008842e-12,-6735.798642143376,-1349.2150524437322,0.003375837291291683,0.0006751724991766701
0.3,,,30.82942077272727,4.62460354559659,1.2954117413136418e-10,9.715707268323765e-12,-6725.523020825194,-2022.2811289337799,0.0033757900698636717,0.0010127540243433544
0.4,,,41.10418981818182,8.221290733522727,3.070542279863082e-10,3.070592843734501e-11,-6715.24825177974,-2694.319685905646,0.003375724009756566,0.0013503298851934372
0.5,,,51.3781065909091,12.845412212357953,5.997028941523186e-10,7.49644090960354e-11,-6704.974335007013,-3365.330808586603,0.0033756391397507415,0.0016878981992980463
0.6,,,61.651171090909095,18.496882754829542,1.0362651603558931e-9,1.5544362975580865e-10,-6694.701270507013,-4035.3145822039232,0.003375535488624186,0.00202545708710623
0.7000000000000001,,,71.92338331818182,25.175617133664776,1.6455166270456665e-9,2.8797375033683523e-10,-6684.42905827974,-4704.271091984881,0.0033754130851524995,0.002363004671944715
0.8,,,82.19474327272728,32.881530121590906,2.4562305073924073e-9,4.912623714402553e-10,-6674.157698325194,-5372.200423156747,0.0033752719581088956,0.0027005390800176688
0.8999999999999999,,,92.46525095454545,41.614536491335215,3.497177627289021e-9,7.868942956203931e-10,-6663.887190643376,-6039.102660946794,0.0033751121362642,0.00303805844040646
1,,,102.73490636363638,51.374551015624995,4.797126425350555e-9,1.1993312886569714e-9,-6653.617535234285,-6704.977890582297,0.0033749336483868513,0.003375560885069423
1.1,,,113.00370950000003,62.16148846718751,6.3848429529141856e-9,1.7559118408273226e-9,-6643.348732097922,-7369.8261972905275,0.003374736523242901,0.003713044548841613
1.2,,,123.27166036363639,73.97526361874999,8.289090874039224e-9,2.4868509281786026e-9,-6633.0807812342855,-8033.647666298755,0.003374520789596013,0.004050507569434574
1.2999999999999998,,,133.53875895454547,86.81579124303974,1.0538631465507125e-8,3.4252397738000087e-9,-6622.8136826433765,-8696.442382834257,0.0033742864762074634,0.004387948087436096
1.4000000000000001,,,143.80500527272733,100.6829861127841,1.316222361682149e-8,4.607045609094994e-9,-6612.547436325194,-9358.210432124308,0.003374033611836143,0.004725364246309977
1.5,,,154.07039931818187,115.57676300071024,1.6188623830208017e-8,6.071111435053462e-9,-6602.28204227974,-10018.951899396172,0.0033737622252385537,0.005062754192395784
1.6,,,164.33494109090918,131.4970366795455,1.964658622061459e-8,7.859155783524013e-9,-6592.017500507012,-10678.66686987713,0.0033734723451688095,0.005400116074908618
1.7,,,174.59863059090918,148.44372192201706,2.3564862515711184e-8,1.0015772478486126e-8,-6581.753811007013,-11337.35542879445,0.003373164000378639,0.005737448045938868
1.7999999999999998,,,184.8614678181819,166.41673350085227,2.7972202055889946e-8,1.2588430397322398e-8,-6571.49097377974,-11995.017661375407,0.0033728372196173825,0.006074748260451978
1.9000000000000001,,,195.12345277272738,185.4159861887785,3.2897351794265166e-8,1.5627473232090753e-8,-6561.228988825194,-12651.653652847273,0.0033724920316319925,0.00641201487628821
2,,,205.38458545454554,205.44139475852282,3.8369056296673206e-8,1.918611925079661e-8,-6550.967856143377,-13307.26348843732,0.0033721284651670362,0.006749246054162395
2.0999999999999996,,,215.64486586363643,226.4928739828125,4.441605774167262e-8,2.332046105866517e-8,-6540.7075757342855,-13961.847253372822,0.0033717465489646902,0.007086439957663705
2.2,,,225.90429400000014,248.57033863437513,5.106709592054414e-8,2.8089465359413633e-8,-6530.448147597922,-14615.405032881054,0.0033713463117647476,0.007423594753255416
2.3000000000000003,,,236.16286986363653,271.6737034859376,5.835090823729051e-8,3.355497271652327e-8,-6520.189571734285,-15267.936912189283,0.0033709277823046114,0.007760708610274652
2.4,,,246.4205934545456,295.80288331022734,6.629622970863668e-8,3.9781697314511795e-8,-6509.931848143377,-15919.442976524784,0.0033704909893192986,0.008097779700932168
2.5,,,256.67746477272743,320.95779287997175,7.49317929640298e-8,4.6837226720205576e-8,-6499.674976825195,-16569.923311114835,0.0033700359615414384,0.008434806200312095
2.5999999999999996,,,266.93348381818197,347.13834696789775,8.4286328245639e-8,5.4792021644011685e-8,-6489.41895777974,-17219.378001186695,0.0033695627277012734,0.008771786286371713
2.7,,,277.18865059090933,374.3444603467331,9.438856340835579e-8,6.37194157011904e-8,-6479.163791007012,-17867.807131967656,0.003369071316526658,0.009108718139941204
2.8000000000000003,,,287.4429650909093,402.5760477892047,1.0526722391979354e-7,7.369561517312702e-8,-6468.909476507012,-18515.21078868498,0.0033685617567430605,0.009445599944723415
2.9,,,297.696427318182,431.83302406803983,1.1695103286028786e-7,8.479969876860437e-8,-6458.65601427974,-19161.589056565932,0.0033680340770735604,0.009782429887293621
3,,,307.9490372727274,462.11530395596606,1.2946871092289662e-7,9.711361738507512e-8,-6448.403404325194,-19806.9420208378,0.003367488306238851,0.01011920615709929
3.0999999999999996,,,318.20079495454553,493.42280222571026,1.4284897641339965e-7,1.1072219386993356e-7,-6438.151646643376,-20451.269766727848,0.003366924472957239,0.010455926946459831
3.2,,,328.4517003636365,525.7554336500003,1.5712054525029912e-7,1.2571312278178838e-7,-6427.900741234285,-21094.572379463352,0.0033663426059446417,0.010792590450566374
3.3000000000000003,,,338.7017535000001,559.1131130015627,1.7231213096481906e-7,1.4217697015173424e-7,-6417.650688097921,-21736.84994427158,0.003365742733914591,0.011129194867481514
3.4,,,348.9509543636364,593.4957550531252,1.8845244470090576e-7,1.6020717324462446e-7,-6407.401487234285,-22378.102546379807,0.0033651248855782307,0.011465738398139084
3.5,,,359.19930295454554,628.9032745774149,2.0557019521522782e-7,1.7990004032034328e-7,-6397.153138643376,-23018.33027101531,0.003364489089644317,0.01180221924634391
3.5999999999999996,,,369.44679927272733,665.335586347159,2.2369408887717567e-7,2.0135475039507757e-7,-6386.905642325194,-23657.533203405357,0.00336383537481922,0.012138635618771577
